API Component,Documentation
LogisticRegression,"Logistic Regression (aka logit, MaxEnt) classifier.  This class implements regularized logistic regression using the 'liblinear' library, 'newton-cg', 'sag', 'saga' and 'lbfgs' solvers. **Note that regularization is applied by default**. It can handle both dense and sparse input. Use C-ordered arrays or CSR matrices containing 64-bit floats for optimal performance; any other input format will be converted (and copied).  The 'newton-cg', 'sag', and 'lbfgs' solvers support only L2 regularization with primal formulation, or no regularization. The 'liblinear' solver supports both L1 and L2 regularization, with a dual formulation only for the L2 penalty. The Elastic-Net regularization is only supported by the 'saga' solver.  For :term:`multiclass` problems, only 'newton-cg', 'sag', 'saga' and 'lbfgs' handle multinomial loss. 'liblinear' and 'newton-cholesky' only handle binary classification but can be extended to handle multiclass by using :class:`~sklearn.multiclass.OneVsRestClassifier`.  Read more in the :ref:`User Guide <logistic_regression>`.  Parameters ---------- penalty : {'l1', 'l2', 'elasticnet', None}, default='l2'     Specify the norm of the penalty:      - `None`: no penalty is added;     - `'l2'`: add a L2 penalty term and it is the default choice;     - `'l1'`: add a L1 penalty term;     - `'elasticnet'`: both L1 and L2 penalty terms are added.      .. warning::        Some penalties may not work with some solvers. See the parameter        `solver` below, to know the compatibility between the penalty and        solver.      .. versionadded:: 0.19        l1 penalty with SAGA solver (allowing 'multinomial' + L1)  dual : bool, default=False     Dual (constrained) or primal (regularized, see also     :ref:`this equation <regularized-logistic-loss>`) formulation. Dual formulation     is only implemented for l2 penalty with liblinear solver. Prefer dual=False when     n_samples > n_features.  tol : float, default=1e-4     Tolerance for stopping criteria.  C : float, default=1.0     Inverse of regularization strength; must be a positive float.     Like in support vector machines, smaller values specify stronger     regularization.  fit_intercept : bool, default=True     Specifies if a constant (a.k.a. bias or intercept) should be     added to the decision function.  intercept_scaling : float, default=1     Useful only when the solver 'liblinear' is used     and self.fit_intercept is set to True. In this case, x becomes     [x, self.intercept_scaling],     i.e. a ""synthetic"" feature with constant value equal to     intercept_scaling is appended to the instance vector.     The intercept becomes ``intercept_scaling * synthetic_feature_weight``.      Note! the synthetic feature weight is subject to l1/l2 regularization     as all other features.     To lessen the effect of regularization on synthetic feature weight     (and therefore on the intercept) intercept_scaling has to be increased.  class_weight : dict or 'balanced', default=None     Weights associated with classes in the form ``{class_label: weight}``.     If not given, all classes are supposed to have weight one.      The ""balanced"" mode uses the values of y to automatically adjust     weights inversely proportional to class frequencies in the input data     as ``n_samples / (n_classes * np.bincount(y))``.      Note that these weights will be multiplied with sample_weight (passed     through the fit method) if sample_weight is specified.      .. versionadded:: 0.17        *class_weight='balanced'*  random_state : int, RandomState instance, default=None     Used when ``solver`` == 'sag', 'saga' or 'liblinear' to shuffle the     data. See :term:`Glossary <random_state>` for details.  solver : {'lbfgs', 'liblinear', 'newton-cg', 'newton-cholesky', 'sag', 'saga'},             default='lbfgs'      Algorithm to use in the optimization problem. Default is 'lbfgs'.     To choose a solver, you might want to consider the following aspects:      - For small datasets, 'liblinear' is a good choice, whereas 'sag'       and 'saga' are faster for large ones;     - For :term:`multiclass` problems, all solvers except 'liblinear' minimize the       full multinomial loss;     - 'liblinear' can only handle binary classification by default. To apply a       one-versus-rest scheme for the multiclass setting one can wrap it with the       :class:`~sklearn.multiclass.OneVsRestClassifier`.     - 'newton-cholesky' is a good choice for       `n_samples` >> `n_features * n_classes`, especially with one-hot encoded       categorical features with rare categories. Be aware that the memory usage       of this solver has a quadratic dependency on `n_features * n_classes`       because it explicitly computes the full Hessian matrix.      .. warning::        The choice of the algorithm depends on the penalty chosen and on        (multinomial) multiclass support:         ================= ============================== ======================        solver            penalty                        multinomial multiclass        ================= ============================== ======================        'lbfgs'           'l2', None                     yes        'liblinear'       'l1', 'l2'                     no        'newton-cg'       'l2', None                     yes        'newton-cholesky' 'l2', None                     no        'sag'             'l2', None                     yes        'saga'            'elasticnet', 'l1', 'l2', None yes        ================= ============================== ======================      .. note::        'sag' and 'saga' fast convergence is only guaranteed on features        with approximately the same scale. You can preprocess the data with        a scaler from :mod:`sklearn.preprocessing`.      .. seealso::        Refer to the :ref:`User Guide <Logistic_regression>` for more        information regarding :class:`LogisticRegression` and more specifically the        :ref:`Table <logistic_regression_solvers>`        summarizing solver/penalty supports.      .. versionadded:: 0.17        Stochastic Average Gradient descent solver.     .. versionadded:: 0.19        SAGA solver.     .. versionchanged:: 0.22         The default solver changed from 'liblinear' to 'lbfgs' in 0.22.     .. versionadded:: 1.2        newton-cholesky solver.  max_iter : int, default=100     Maximum number of iterations taken for the solvers to converge.  multi_class : {'auto', 'ovr', 'multinomial'}, default='auto'     If the option chosen is 'ovr', then a binary problem is fit for each     label. For 'multinomial' the loss minimised is the multinomial loss fit     across the entire probability distribution, *even when the data is     binary*. 'multinomial' is unavailable when solver='liblinear'.     'auto' selects 'ovr' if the data is binary, or if solver='liblinear',     and otherwise selects 'multinomial'.      .. versionadded:: 0.18        Stochastic Average Gradient descent solver for 'multinomial' case.     .. versionchanged:: 0.22         Default changed from 'ovr' to 'auto' in 0.22.     .. deprecated:: 1.5        ``multi_class`` was deprecated in version 1.5 and will be removed in 1.7.        From then on, the recommended 'multinomial' will always be used for        `n_classes >= 3`.        Solvers that do not support 'multinomial' will raise an error.        Use `sklearn.multiclass.OneVsRestClassifier(LogisticRegression())` if you        still want to use OvR.  verbose : int, default=0     For the liblinear and lbfgs solvers set verbose to any positive     number for verbosity.  warm_start : bool, default=False     When set to True, reuse the solution of the previous call to fit as     initialization, otherwise, just erase the previous solution.     Useless for liblinear solver. See :term:`the Glossary <warm_start>`.      .. versionadded:: 0.17        *warm_start* to support *lbfgs*, *newton-cg*, *sag*, *saga* solvers.  n_jobs : int, default=None     Number of CPU cores used when parallelizing over classes if     multi_class='ovr'"". This parameter is ignored when the ``solver`` is     set to 'liblinear' regardless of whether 'multi_class' is specified or     not. ``None`` means 1 unless in a :obj:`joblib.parallel_backend`     context. ``-1`` means using all processors.     See :term:`Glossary <n_jobs>` for more details.  l1_ratio : float, default=None     The Elastic-Net mixing parameter, with ``0 <= l1_ratio <= 1``. Only     used if ``penalty='elasticnet'``. Setting ``l1_ratio=0`` is equivalent     to using ``penalty='l2'``, while setting ``l1_ratio=1`` is equivalent     to using ``penalty='l1'``. For ``0 < l1_ratio <1``, the penalty is a     combination of L1 and L2.  Attributes ----------  classes_ : ndarray of shape (n_classes, )     A list of class labels known to the classifier.  coef_ : ndarray of shape (1, n_features) or (n_classes, n_features)     Coefficient of the features in the decision function.      `coef_` is of shape (1, n_features) when the given problem is binary.     In particular, when `multi_class='multinomial'`, `coef_` corresponds     to outcome 1 (True) and `-coef_` corresponds to outcome 0 (False).  intercept_ : ndarray of shape (1,) or (n_classes,)     Intercept (a.k.a. bias) added to the decision function.      If `fit_intercept` is set to False, the intercept is set to zero.     `intercept_` is of shape (1,) when the given problem is binary.     In particular, when `multi_class='multinomial'`, `intercept_`     corresponds to outcome 1 (True) and `-intercept_` corresponds to     outcome 0 (False).  n_features_in_ : int     Number of features seen during :term:`fit`.      .. versionadded:: 0.24  feature_names_in_ : ndarray of shape (`n_features_in_`,)     Names of features seen during :term:`fit`. Defined only when `X`     has feature names that are all strings.      .. versionadded:: 1.0  n_iter_ : ndarray of shape (n_classes,) or (1, )     Actual number of iterations for all classes. If binary or multinomial,     it returns only 1 element. For liblinear solver, only the maximum     number of iteration across all classes is given.      .. versionchanged:: 0.20          In SciPy <= 1.0.0 the number of lbfgs iterations may exceed         ``max_iter``. ``n_iter_`` will now report at most ``max_iter``.  See Also -------- SGDClassifier : Incrementally trained logistic regression (when given     the parameter ``loss=""log_loss""``). LogisticRegressionCV : Logistic regression with built-in cross validation.  Notes ----- The underlying C implementation uses a random number generator to select features when fitting the model. It is thus not uncommon, to have slightly different results for the same input data. If that happens, try with a smaller tol parameter.  Predict output may not match that of standalone liblinear in certain cases. See :ref:`differences from liblinear <liblinear_differences>` in the narrative documentation.  References ----------  L-BFGS-B -- Software for Large-scale Bound-constrained Optimization     Ciyou Zhu, Richard Byrd, Jorge Nocedal and Jose Luis Morales.     http://users.iems.northwestern.edu/~nocedal/lbfgsb.html  LIBLINEAR -- A Library for Large Linear Classification     https://www.csie.ntu.edu.tw/~cjlin/liblinear/  SAG -- Mark Schmidt, Nicolas Le Roux, and Francis Bach     Minimizing Finite Sums with the Stochastic Average Gradient     https://hal.inria.fr/hal-00860051/document  SAGA -- Defazio, A., Bach F. & Lacoste-Julien S. (2014).         :arxiv:`""SAGA: A Fast Incremental Gradient Method With Support         for Non-Strongly Convex Composite Objectives"" <1407.0202>`  Hsiang-Fu Yu, Fang-Lan Huang, Chih-Jen Lin (2011). Dual coordinate descent     methods for logistic regression and maximum entropy models.     Machine Learning 85(1-2):41-75.     https://www.csie.ntu.edu.tw/~cjlin/papers/maxent_dual.pdf  Examples -------- >>> from sklearn.datasets import load_iris >>> from sklearn.linear_model import LogisticRegression >>> X, y = load_iris(return_X_y=True) >>> clf = LogisticRegression(random_state=0).fit(X, y) >>> clf.predict(X[:2, :]) array([0, 0]) >>> clf.predict_proba(X[:2, :]) array([[9.8...e-01, 1.8...e-02, 1.4...e-08],        [9.7...e-01, 2.8...e-02, ...e-08]]) >>> clf.score(X, y) 0.97...  For a comaprison of the LogisticRegression with other classifiers see: :ref:`sphx_glr_auto_examples_classification_plot_classification_probability.py`."
make_pipeline,"Construct a :class:`Pipeline` from the given estimators.  This is a shorthand for the :class:`Pipeline` constructor; it does not require, and does not permit, naming the estimators. Instead, their names will be set to the lowercase of their types automatically.  Parameters ---------- *steps : list of Estimator objects     List of the scikit-learn estimators that are chained together.  memory : str or object with the joblib.Memory interface, default=None     Used to cache the fitted transformers of the pipeline. The last step     will never be cached, even if it is a transformer. By default, no     caching is performed. If a string is given, it is the path to the     caching directory. Enabling caching triggers a clone of the transformers     before fitting. Therefore, the transformer instance given to the     pipeline cannot be inspected directly. Use the attribute ``named_steps``     or ``steps`` to inspect estimators within the pipeline. Caching the     transformers is advantageous when fitting is time consuming.  transform_input : list of str, default=None     This enables transforming some input arguments to ``fit`` (other than ``X``)     to be transformed by the steps of the pipeline up to the step which requires     them. Requirement is defined via :ref:`metadata routing <metadata_routing>`.     This can be used to pass a validation set through the pipeline for instance.      You can only set this if metadata routing is enabled, which you     can enable using ``sklearn.set_config(enable_metadata_routing=True)``.      .. versionadded:: 1.6  verbose : bool, default=False     If True, the time elapsed while fitting each step will be printed as it     is completed.  Returns ------- p : Pipeline     Returns a scikit-learn :class:`Pipeline` object.  See Also -------- Pipeline : Class for creating a pipeline of transforms with a final     estimator.  Examples -------- >>> from sklearn.naive_bayes import GaussianNB >>> from sklearn.preprocessing import StandardScaler >>> from sklearn.pipeline import make_pipeline >>> make_pipeline(StandardScaler(), GaussianNB(priors=None)) Pipeline(steps=[('standardscaler', StandardScaler()),                 ('gaussiannb', GaussianNB())])"
PCA,"Principal component analysis (PCA).  Linear dimensionality reduction using Singular Value Decomposition of the data to project it to a lower dimensional space. The input data is centered but not scaled for each feature before applying the SVD.  It uses the LAPACK implementation of the full SVD or a randomized truncated SVD by the method of Halko et al. 2009, depending on the shape of the input data and the number of components to extract.  With sparse inputs, the ARPACK implementation of the truncated SVD can be used (i.e. through :func:`scipy.sparse.linalg.svds`). Alternatively, one may consider :class:`TruncatedSVD` where the data are not centered.  Notice that this class only supports sparse inputs for some solvers such as ""arpack"" and ""covariance_eigh"". See :class:`TruncatedSVD` for an alternative with sparse data.  For a usage example, see :ref:`sphx_glr_auto_examples_decomposition_plot_pca_iris.py`  Read more in the :ref:`User Guide <PCA>`.  Parameters ---------- n_components : int, float or 'mle', default=None     Number of components to keep.     if n_components is not set all components are kept::          n_components == min(n_samples, n_features)      If ``n_components == 'mle'`` and ``svd_solver == 'full'``, Minka's     MLE is used to guess the dimension. Use of ``n_components == 'mle'``     will interpret ``svd_solver == 'auto'`` as ``svd_solver == 'full'``.      If ``0 < n_components < 1`` and ``svd_solver == 'full'``, select the     number of components such that the amount of variance that needs to be     explained is greater than the percentage specified by n_components.      If ``svd_solver == 'arpack'``, the number of components must be     strictly less than the minimum of n_features and n_samples.      Hence, the None case results in::          n_components == min(n_samples, n_features) - 1  copy : bool, default=True     If False, data passed to fit are overwritten and running     fit(X).transform(X) will not yield the expected results,     use fit_transform(X) instead.  whiten : bool, default=False     When True (False by default) the `components_` vectors are multiplied     by the square root of n_samples and then divided by the singular values     to ensure uncorrelated outputs with unit component-wise variances.      Whitening will remove some information from the transformed signal     (the relative variance scales of the components) but can sometime     improve the predictive accuracy of the downstream estimators by     making their data respect some hard-wired assumptions.  svd_solver : {'auto', 'full', 'covariance_eigh', 'arpack', 'randomized'},            default='auto'     ""auto"" :         The solver is selected by a default 'auto' policy is based on `X.shape` and         `n_components`: if the input data has fewer than 1000 features and         more than 10 times as many samples, then the ""covariance_eigh""         solver is used. Otherwise, if the input data is larger than 500x500         and the number of components to extract is lower than 80% of the         smallest dimension of the data, then the more efficient         ""randomized"" method is selected. Otherwise the exact ""full"" SVD is         computed and optionally truncated afterwards.     ""full"" :         Run exact full SVD calling the standard LAPACK solver via         `scipy.linalg.svd` and select the components by postprocessing     ""covariance_eigh"" :         Precompute the covariance matrix (on centered data), run a         classical eigenvalue decomposition on the covariance matrix         typically using LAPACK and select the components by postprocessing.         This solver is very efficient for n_samples >> n_features and small         n_features. It is, however, not tractable otherwise for large         n_features (large memory footprint required to materialize the         covariance matrix). Also note that compared to the ""full"" solver,         this solver effectively doubles the condition number and is         therefore less numerical stable (e.g. on input data with a large         range of singular values).     ""arpack"" :         Run SVD truncated to `n_components` calling ARPACK solver via         `scipy.sparse.linalg.svds`. It requires strictly         `0 < n_components < min(X.shape)`     ""randomized"" :         Run randomized SVD by the method of Halko et al.      .. versionadded:: 0.18.0      .. versionchanged:: 1.5         Added the 'covariance_eigh' solver.  tol : float, default=0.0     Tolerance for singular values computed by svd_solver == 'arpack'.     Must be of range [0.0, infinity).      .. versionadded:: 0.18.0  iterated_power : int or 'auto', default='auto'     Number of iterations for the power method computed by     svd_solver == 'randomized'.     Must be of range [0, infinity).      .. versionadded:: 0.18.0  n_oversamples : int, default=10     This parameter is only relevant when `svd_solver=""randomized""`.     It corresponds to the additional number of random vectors to sample the     range of `X` so as to ensure proper conditioning. See     :func:`~sklearn.utils.extmath.randomized_svd` for more details.      .. versionadded:: 1.1  power_iteration_normalizer : {'auto', 'QR', 'LU', 'none'}, default='auto'     Power iteration normalizer for randomized SVD solver.     Not used by ARPACK. See :func:`~sklearn.utils.extmath.randomized_svd`     for more details.      .. versionadded:: 1.1  random_state : int, RandomState instance or None, default=None     Used when the 'arpack' or 'randomized' solvers are used. Pass an int     for reproducible results across multiple function calls.     See :term:`Glossary <random_state>`.      .. versionadded:: 0.18.0  Attributes ---------- components_ : ndarray of shape (n_components, n_features)     Principal axes in feature space, representing the directions of     maximum variance in the data. Equivalently, the right singular     vectors of the centered input data, parallel to its eigenvectors.     The components are sorted by decreasing ``explained_variance_``.  explained_variance_ : ndarray of shape (n_components,)     The amount of variance explained by each of the selected components.     The variance estimation uses `n_samples - 1` degrees of freedom.      Equal to n_components largest eigenvalues     of the covariance matrix of X.      .. versionadded:: 0.18  explained_variance_ratio_ : ndarray of shape (n_components,)     Percentage of variance explained by each of the selected components.      If ``n_components`` is not set then all components are stored and the     sum of the ratios is equal to 1.0.  singular_values_ : ndarray of shape (n_components,)     The singular values corresponding to each of the selected components.     The singular values are equal to the 2-norms of the ``n_components``     variables in the lower-dimensional space.      .. versionadded:: 0.19  mean_ : ndarray of shape (n_features,)     Per-feature empirical mean, estimated from the training set.      Equal to `X.mean(axis=0)`.  n_components_ : int     The estimated number of components. When n_components is set     to 'mle' or a number between 0 and 1 (with svd_solver == 'full') this     number is estimated from input data. Otherwise it equals the parameter     n_components, or the lesser value of n_features and n_samples     if n_components is None.  n_samples_ : int     Number of samples in the training data.  noise_variance_ : float     The estimated noise covariance following the Probabilistic PCA model     from Tipping and Bishop 1999. See ""Pattern Recognition and     Machine Learning"" by C. Bishop, 12.2.1 p. 574 or     http://www.miketipping.com/papers/met-mppca.pdf. It is required to     compute the estimated data covariance and score samples.      Equal to the average of (min(n_features, n_samples) - n_components)     smallest eigenvalues of the covariance matrix of X.  n_features_in_ : int     Number of features seen during :term:`fit`.      .. versionadded:: 0.24  feature_names_in_ : ndarray of shape (`n_features_in_`,)     Names of features seen during :term:`fit`. Defined only when `X`     has feature names that are all strings.      .. versionadded:: 1.0  See Also -------- KernelPCA : Kernel Principal Component Analysis. SparsePCA : Sparse Principal Component Analysis. TruncatedSVD : Dimensionality reduction using truncated SVD. IncrementalPCA : Incremental Principal Component Analysis.  References ---------- For n_components == 'mle', this class uses the method from: `Minka, T. P.. ""Automatic choice of dimensionality for PCA"". In NIPS, pp. 598-604 <https://tminka.github.io/papers/pca/minka-pca.pdf>`_  Implements the probabilistic PCA model from: `Tipping, M. E., and Bishop, C. M. (1999). ""Probabilistic principal component analysis"". Journal of the Royal Statistical Society: Series B (Statistical Methodology), 61(3), 611-622. <http://www.miketipping.com/papers/met-mppca.pdf>`_ via the score and score_samples methods.  For svd_solver == 'arpack', refer to `scipy.sparse.linalg.svds`.  For svd_solver == 'randomized', see: :doi:`Halko, N., Martinsson, P. G., and Tropp, J. A. (2011). ""Finding structure with randomness: Probabilistic algorithms for constructing approximate matrix decompositions"". SIAM review, 53(2), 217-288. <10.1137/090771806>` and also :doi:`Martinsson, P. G., Rokhlin, V., and Tygert, M. (2011). ""A randomized algorithm for the decomposition of matrices"". Applied and Computational Harmonic Analysis, 30(1), 47-68. <10.1016/j.acha.2010.02.003>`  Examples -------- >>> import numpy as np >>> from sklearn.decomposition import PCA >>> X = np.array([[-1, -1], [-2, -1], [-3, -2], [1, 1], [2, 1], [3, 2]]) >>> pca = PCA(n_components=2) >>> pca.fit(X) PCA(n_components=2) >>> print(pca.explained_variance_ratio_) [0.9924... 0.0075...] >>> print(pca.singular_values_) [6.30061... 0.54980...]  >>> pca = PCA(n_components=2, svd_solver='full') >>> pca.fit(X) PCA(n_components=2, svd_solver='full') >>> print(pca.explained_variance_ratio_) [0.9924... 0.00755...] >>> print(pca.singular_values_) [6.30061... 0.54980...]  >>> pca = PCA(n_components=1, svd_solver='arpack') >>> pca.fit(X) PCA(n_components=1, svd_solver='arpack') >>> print(pca.explained_variance_ratio_) [0.99244...] >>> print(pca.singular_values_) [6.30061...]"
torch,"The torch package contains data structures for multi-dimensional tensors and defines mathematical operations over these tensors. Additionally, it provides many utilities for efficient serialization of Tensors and arbitrary types, and other useful utilities.  It has a CUDA counterpart, that enables you to run your tensor computations on an NVIDIA GPU with compute capability >= 3.0."
torch.nn,No documentation found.
torch.optim,":mod:`torch.optim` is a package implementing various optimization algorithms.  Most commonly used methods are already supported, and the interface is general enough, so that more sophisticated ones can also be easily integrated in the future."
torchvision,No documentation found.
torchvision.transforms,No documentation found.
torch.nn.functional,Functional interface.
Dataset,"An abstract class representing a :class:`Dataset`.  All datasets that represent a map from keys to data samples should subclass it. All subclasses should overwrite :meth:`__getitem__`, supporting fetching a data sample for a given key. Subclasses could also optionally overwrite :meth:`__len__`, which is expected to return the size of the dataset by many :class:`~torch.utils.data.Sampler` implementations and the default options of :class:`~torch.utils.data.DataLoader`. Subclasses could also optionally implement :meth:`__getitems__`, for speedup batched samples loading. This method accepts list of indices of samples of batch and returns list of samples.  .. note::   :class:`~torch.utils.data.DataLoader` by default constructs an index   sampler that yields integral indices.  To make it work with a map-style   dataset with non-integral indices/keys, a custom sampler must be provided."
DataLoader,"Data loader combines a dataset and a sampler, and provides an iterable over the given dataset.  The :class:`~torch.utils.data.DataLoader` supports both map-style and iterable-style datasets with single- or multi-process loading, customizing loading order and optional automatic batching (collation) and memory pinning.  See :py:mod:`torch.utils.data` documentation page for more details.  Args:     dataset (Dataset): dataset from which to load the data.     batch_size (int, optional): how many samples per batch to load         (default: ``1``).     shuffle (bool, optional): set to ``True`` to have the data reshuffled         at every epoch (default: ``False``).     sampler (Sampler or Iterable, optional): defines the strategy to draw         samples from the dataset. Can be any ``Iterable`` with ``__len__``         implemented. If specified, :attr:`shuffle` must not be specified.     batch_sampler (Sampler or Iterable, optional): like :attr:`sampler`, but         returns a batch of indices at a time. Mutually exclusive with         :attr:`batch_size`, :attr:`shuffle`, :attr:`sampler`,         and :attr:`drop_last`.     num_workers (int, optional): how many subprocesses to use for data         loading. ``0`` means that the data will be loaded in the main process.         (default: ``0``)     collate_fn (Callable, optional): merges a list of samples to form a         mini-batch of Tensor(s).  Used when using batched loading from a         map-style dataset.     pin_memory (bool, optional): If ``True``, the data loader will copy Tensors         into device/CUDA pinned memory before returning them.  If your data elements         are a custom type, or your :attr:`collate_fn` returns a batch that is a custom type,         see the example below.     drop_last (bool, optional): set to ``True`` to drop the last incomplete batch,         if the dataset size is not divisible by the batch size. If ``False`` and         the size of dataset is not divisible by the batch size, then the last batch         will be smaller. (default: ``False``)     timeout (numeric, optional): if positive, the timeout value for collecting a batch         from workers. Should always be non-negative. (default: ``0``)     worker_init_fn (Callable, optional): If not ``None``, this will be called on each         worker subprocess with the worker id (an int in ``[0, num_workers - 1]``) as         input, after seeding and before data loading. (default: ``None``)     multiprocessing_context (str or multiprocessing.context.BaseContext, optional): If         ``None``, the default `multiprocessing context`_ of your operating system will         be used. (default: ``None``)     generator (torch.Generator, optional): If not ``None``, this RNG will be used         by RandomSampler to generate random indexes and multiprocessing to generate         ``base_seed`` for workers. (default: ``None``)     prefetch_factor (int, optional, keyword-only arg): Number of batches loaded         in advance by each worker. ``2`` means there will be a total of         2 * num_workers batches prefetched across all workers. (default value depends         on the set value for num_workers. If value of num_workers=0 default is ``None``.         Otherwise, if value of ``num_workers > 0`` default is ``2``).     persistent_workers (bool, optional): If ``True``, the data loader will not shut down         the worker processes after a dataset has been consumed once. This allows to         maintain the workers `Dataset` instances alive. (default: ``False``)     pin_memory_device (str, optional): the device to :attr:`pin_memory` on if ``pin_memory`` is         ``True``. If not given, the current :ref:`accelerator<accelerators>` will be the         default. This argument is discouraged and subject to deprecated.     in_order (bool, optional): If ``False``, the data loader will not enforce that batches         are returned in a first-in, first-out order. Only applies when ``num_workers > 0``. (default: ``True``)   .. warning:: If the ``spawn`` start method is used, :attr:`worker_init_fn`              cannot be an unpicklable object, e.g., a lambda function. See              :ref:`multiprocessing-best-practices` on more details related              to multiprocessing in PyTorch.  .. warning:: ``len(dataloader)`` heuristic is based on the length of the sampler used.              When :attr:`dataset` is an :class:`~torch.utils.data.IterableDataset`,              it instead returns an estimate based on ``len(dataset) / batch_size``, with proper              rounding depending on :attr:`drop_last`, regardless of multi-process loading              configurations. This represents the best guess PyTorch can make because PyTorch              trusts user :attr:`dataset` code in correctly handling multi-process              loading to avoid duplicate data.               However, if sharding results in multiple workers having incomplete last batches,              this estimate can still be inaccurate, because (1) an otherwise complete batch can              be broken into multiple ones and (2) more than one batch worth of samples can be              dropped when :attr:`drop_last` is set. Unfortunately, PyTorch can not detect such              cases in general.               See `Dataset Types`_ for more details on these two types of datasets and how              :class:`~torch.utils.data.IterableDataset` interacts with              `Multi-process data loading`_.  .. warning:: See :ref:`reproducibility`, and :ref:`dataloader-workers-random-seed`, and              :ref:`data-loading-randomness` notes for random seed related questions.  .. warning:: Setting `in_order` to `False` can harm reproducibility and may lead to a skewed data              distribution being fed to the trainer in cases with imbalanced data.  .. _multiprocessing context:     https://docs.python.org/3/library/multiprocessing.html#contexts-and-start-methods"
torchvision.datasets,No documentation found.
ToTensor,"Convert a PIL Image or ndarray to tensor and scale the values accordingly.  This transform does not support torchscript.  Converts a PIL Image or numpy.ndarray (H x W x C) in the range [0, 255] to a torch.FloatTensor of shape (C x H x W) in the range [0.0, 1.0] if the PIL Image belongs to one of the modes (L, LA, P, I, F, RGB, YCbCr, RGBA, CMYK, 1) or if the numpy.ndarray has dtype = np.uint8  In the other cases, tensors are returned without scaling.  .. note::     Because the input image is scaled to [0.0, 1.0], this transformation should not be used when     transforming target image masks. See the `references`_ for implementing the transforms for image masks.  .. _references: https://github.com/pytorch/vision/tree/main/references/segmentation"
numpy,"NumPy =====  Provides   1. An array object of arbitrary homogeneous items   2. Fast mathematical operations over arrays   3. Linear Algebra, Fourier Transforms, Random Number Generation  How to use the documentation ---------------------------- Documentation is available in two forms: docstrings provided with the code, and a loose standing reference guide, available from `the NumPy homepage <https://numpy.org>`_.  We recommend exploring the docstrings using `IPython <https://ipython.org>`_, an advanced Python shell with TAB-completion and introspection capabilities.  See below for further instructions.  The docstring examples assume that `numpy` has been imported as ``np``::    >>> import numpy as np  Code snippets are indicated by three greater-than signs::    >>> x = 42   >>> x = x + 1  Use the built-in ``help`` function to view a function's docstring::    >>> help(np.sort)   ... # doctest: +SKIP  For some objects, ``np.info(obj)`` may provide additional help.  This is particularly true if you see the line ""Help on ufunc object:"" at the top of the help() page.  Ufuncs are implemented in C, not Python, for speed. The native Python help() does not know how to view their help, but our np.info() function does.  Available subpackages --------------------- lib     Basic functions used by several sub-packages. random     Core Random Tools linalg     Core Linear Algebra Tools fft     Core FFT routines polynomial     Polynomial tools testing     NumPy testing tools distutils     Enhancements to distutils with support for     Fortran compilers support and more (for Python <= 3.11)  Utilities --------- test     Run numpy unittests show_config     Show numpy build configuration __version__     NumPy version string  Viewing documentation using IPython -----------------------------------  Start IPython and import `numpy` usually under the alias ``np``: `import numpy as np`.  Then, directly past or use the ``%cpaste`` magic to paste examples into the shell.  To see which functions are available in `numpy`, type ``np.<TAB>`` (where ``<TAB>`` refers to the TAB key), or use ``np.*cos*?<ENTER>`` (where ``<ENTER>`` refers to the ENTER key) to narrow down the list.  To view the docstring for a function, use ``np.cos?<ENTER>`` (to view the docstring) and ``np.cos??<ENTER>`` (to view the source code).  Copies vs. in-place operation ----------------------------- Most of the functions in `numpy` return a copy of the array argument (e.g., `np.sort`).  In-place versions of these functions are often available as array methods, i.e. ``x = np.array([1,2,3]); x.sort()``. Exceptions to this rule are documented."
pandas,"pandas - a powerful data analysis and manipulation library for Python =====================================================================  **pandas** is a Python package providing fast, flexible, and expressive data structures designed to make working with ""relational"" or ""labeled"" data both easy and intuitive. It aims to be the fundamental high-level building block for doing practical, **real world** data analysis in Python. Additionally, it has the broader goal of becoming **the most powerful and flexible open source data analysis / manipulation tool available in any language**. It is already well on its way toward this goal.  Main Features ------------- Here are just a few of the things that pandas does well:    - Easy handling of missing data in floating point as well as non-floating     point data.   - Size mutability: columns can be inserted and deleted from DataFrame and     higher dimensional objects   - Automatic and explicit data alignment: objects can be explicitly aligned     to a set of labels, or the user can simply ignore the labels and let     `Series`, `DataFrame`, etc. automatically align the data for you in     computations.   - Powerful, flexible group by functionality to perform split-apply-combine     operations on data sets, for both aggregating and transforming data.   - Make it easy to convert ragged, differently-indexed data in other Python     and NumPy data structures into DataFrame objects.   - Intelligent label-based slicing, fancy indexing, and subsetting of large     data sets.   - Intuitive merging and joining data sets.   - Flexible reshaping and pivoting of data sets.   - Hierarchical labeling of axes (possible to have multiple labels per tick).   - Robust IO tools for loading data from flat files (CSV and delimited),     Excel files, databases, and saving/loading data from the ultrafast HDF5     format.   - Time series-specific functionality: date range generation and frequency     conversion, moving window statistics, date shifting and lagging."
